Hashtag,Username,Followers,Post Number (newer First),Likes,Business Category
tech,mechanicalengineeering,389025,0,1752,NULL
tech,mechanicalengineeering,389025,1,8498,NULL
tech,mechanicalengineeering,389025,2,529,NULL
tech,mechanicalengineeering,389025,3,8654,NULL
tech,mechanicalengineeering,389025,4,3078,NULL
tech,mechanicalengineeering,389025,5,2888,NULL
tech,mechanicalengineeering,389025,6,27245,NULL
tech,mechanicalengineeering,389025,7,7744,NULL
tech,mechanicalengineeering,389025,8,4078,NULL
tech,mechanicalengineeering,389025,9,8797,NULL
tech,interview_bit,1699,0,47,Professional Services
tech,interview_bit,1699,1,11,Professional Services
tech,interview_bit,1699,2,38,Professional Services
tech,interview_bit,1699,3,17,Professional Services
tech,interview_bit,1699,4,26,Professional Services
tech,interview_bit,1699,5,47,Professional Services
tech,interview_bit,1699,6,17,Professional Services
tech,interview_bit,1699,7,27,Professional Services
tech,interview_bit,1699,8,44,Professional Services
tech,interview_bit,1699,9,32,Professional Services
tech,engineeringflow,3098,0,185,NULL
tech,engineeringflow,3098,1,161,NULL
tech,engineeringflow,3098,2,343,NULL
tech,engineeringflow,3098,3,235,NULL
tech,engineeringflow,3098,4,284,NULL
tech,engineeringflow,3098,5,244,NULL
tech,engineeringflow,3098,6,207,NULL
tech,engineeringflow,3098,7,207,NULL
tech,engineeringflow,3098,8,193,NULL
tech,engineeringflow,3098,9,263,NULL
tech,generalknowledge0,79181,0,652,NULL
tech,generalknowledge0,79181,1,2448,NULL
tech,generalknowledge0,79181,2,1664,NULL
tech,generalknowledge0,79181,3,921,NULL
tech,generalknowledge0,79181,4,1225,NULL
tech,generalknowledge0,79181,5,700,NULL
tech,generalknowledge0,79181,6,1451,NULL
tech,generalknowledge0,79181,7,3640,NULL
tech,generalknowledge0,79181,8,693,NULL
tech,generalknowledge0,79181,9,2508,NULL
tech,reliance_digital,792266,0,247,Personal Goods & General Merchandise Stores
tech,reliance_digital,792266,1,123,Personal Goods & General Merchandise Stores
tech,reliance_digital,792266,2,161,Personal Goods & General Merchandise Stores
tech,reliance_digital,792266,3,155,Personal Goods & General Merchandise Stores
tech,reliance_digital,792266,4,3978,Personal Goods & General Merchandise Stores
tech,reliance_digital,792266,5,159,Personal Goods & General Merchandise Stores
tech,reliance_digital,792266,6,215,Personal Goods & General Merchandise Stores
tech,reliance_digital,792266,7,167,Personal Goods & General Merchandise Stores
tech,reliance_digital,792266,8,534,Personal Goods & General Merchandise Stores
tech,reliance_digital,792266,9,384,Personal Goods & General Merchandise Stores
tech,manju___dolly,699,0,70,NULL
tech,techknowlogy_updates,1644,0,6,Creators & Celebrities
tech,techknowlogy_updates,1644,1,13,Creators & Celebrities
tech,techknowlogy_updates,1644,2,13,Creators & Celebrities
tech,techknowlogy_updates,1644,3,9,Creators & Celebrities
tech,techknowlogy_updates,1644,4,11,Creators & Celebrities
tech,techknowlogy_updates,1644,5,9,Creators & Celebrities
tech,techknowlogy_updates,1644,6,12,Creators & Celebrities
tech,techknowlogy_updates,1644,7,20,Creators & Celebrities
tech,techknowlogy_updates,1644,8,9,Creators & Celebrities
tech,techknowlogy_updates,1644,9,14,Creators & Celebrities
tech,technamite,9116,0,861,Business & Utility Services
tech,technamite,9116,1,866,Business & Utility Services
tech,technamite,9116,2,650,Business & Utility Services
tech,technamite,9116,3,978,Business & Utility Services
tech,technamite,9116,4,867,Business & Utility Services
tech,technamite,9116,5,512,Business & Utility Services
tech,technamite,9116,6,1064,Business & Utility Services
tech,technamite,9116,7,587,Business & Utility Services
tech,technamite,9116,8,784,Business & Utility Services
tech,technamite,9116,9,607,Business & Utility Services
tech,hardware_wizard,9186,0,1208,NULL
tech,hardware_wizard,9186,1,1140,NULL
tech,hardware_wizard,9186,2,1269,NULL
tech,hardware_wizard,9186,3,1371,NULL
tech,hardware_wizard,9186,4,3861,NULL
tech,hardware_wizard,9186,5,826,NULL
tech,hardware_wizard,9186,6,1628,NULL
tech,hardware_wizard,9186,7,1192,NULL
tech,hardware_wizard,9186,8,1650,NULL
tech,hardware_wizard,9186,9,792,NULL
tech,gadget.brand1,50027,0,5242,NULL
tech,gadget.brand1,50027,1,6080,NULL
tech,gadget.brand1,50027,2,22578,NULL
tech,gadget.brand1,50027,3,2045,NULL
tech,gadget.brand1,50027,4,5100,NULL
tech,gadget.brand1,50027,5,22907,NULL
tech,gadget.brand1,50027,6,17727,NULL
tech,gadget.brand1,50027,7,147,NULL
tech,gadget.brand1,50027,8,1081,NULL
