Hashtag,Username,Followers,Post Number (newer First),Likes,Business Category
tech,verification_service.bd,1070,0,5,NULL
tech,verification_service.bd,1070,1,4,NULL
tech,verification_service.bd,1070,2,9,NULL
tech,verification_service.bd,1070,3,6,NULL
tech,verification_service.bd,1070,4,6,NULL
tech,verification_service.bd,1070,5,7,NULL
tech,verification_service.bd,1070,6,9,NULL
tech,verification_service.bd,1070,7,8,NULL
tech,verification_service.bd,1070,8,7,NULL
tech,verification_service.bd,1070,9,5,NULL
tech,im.webdeveloper,747,0,35,Business & Utility Services
tech,im.webdeveloper,747,1,28,Business & Utility Services
tech,im.webdeveloper,747,2,15,Business & Utility Services
tech,im.webdeveloper,747,3,14,Business & Utility Services
tech,sizaradam,17787,0,357,
tech,sizaradam,17787,1,102,
tech,sizaradam,17787,2,153,
tech,sizaradam,17787,3,235,
tech,sizaradam,17787,4,266,
tech,sizaradam,17787,5,214,
tech,sizaradam,17787,6,201,
tech,sizaradam,17787,7,263,
tech,sizaradam,17787,8,219,
tech,sizaradam,17787,9,232,
tech,programming_ninjas,1192,0,76,NULL
tech,programming_ninjas,1192,1,77,NULL
tech,programming_ninjas,1192,2,82,NULL
tech,programming_ninjas,1192,3,72,NULL
tech,himanshu_7697,1318,0,61,NULL
tech,the_rumorist,3801,0,57,Publishers
tech,adamlob0,10993,0,1737,NULL
tech,adamlob0,10993,1,1295,NULL
tech,adamlob0,10993,2,1227,NULL
tech,adamlob0,10993,3,1396,NULL
tech,adamlob0,10993,4,1206,NULL
tech,adamlob0,10993,5,1701,NULL
tech,adamlob0,10993,6,1568,NULL
tech,adamlob0,10993,7,1303,NULL
tech,adamlob0,10993,8,1236,NULL
tech,adamlob0,10993,9,96,NULL
tech,gadgetedclips,1416,0,155,Business & Utility Services
tech,gadgetedclips,1416,1,515,Business & Utility Services
tech,gadgetedclips,1416,2,292,Business & Utility Services
tech,gadgetedclips,1416,3,193,Business & Utility Services
tech,gadgetedclips,1416,4,136,Business & Utility Services
tech,gadgetedclips,1416,5,218,Business & Utility Services
tech,gadgetedclips,1416,6,237,Business & Utility Services
tech,gadgetedclips,1416,7,180,Business & Utility Services
tech,gadgetedclips,1416,8,168,Business & Utility Services
tech,gadgetedclips,1416,9,145,Business & Utility Services
