Hashtag,Username,Followers,Post Number (newer First),Likes,Business Category
tech,lelibrandofficial,722,0,1,Personal Goods & General Merchandise Stores
tech,lelibrandofficial,722,1,2,Personal Goods & General Merchandise Stores
tech,lelibrandofficial,722,2,1,Personal Goods & General Merchandise Stores
tech,lelibrandofficial,722,3,3,Personal Goods & General Merchandise Stores
tech,web_development_only,1618,0,67,NULL
tech,web_development_only,1618,1,51,NULL
tech,unique.tathya,114546,0,2673,Professional Services
tech,unique.tathya,114546,1,8522,Professional Services
tech,kanelanedj,2555,0,22,Local Events
tech,kanelanedj,2555,1,63,Local Events
tech,kanelanedj,2555,2,41,Local Events
tech,long.integer,10912,0,443,NULL
tech,stolenupdates,1622,0,42,Publishers
tech,stolenupdates,1622,1,41,Publishers
tech,stolenupdates,1622,2,31,Publishers
tech,stolenupdates,1622,3,40,Publishers
tech,stolenupdates,1622,4,45,Publishers
tech,stolenupdates,1622,5,52,Publishers
tech,stolenupdates,1622,6,63,Publishers
tech,stolenupdates,1622,7,43,Publishers
tech,stolenupdates,1622,8,60,Publishers
tech,stolenupdates,1622,9,28,Publishers
tech,techsinghboy,4140,0,46,Creators & Celebrities
tech,techsinghboy,4140,1,6,Creators & Celebrities
tech,techsinghboy,4140,2,11,Creators & Celebrities
tech,techsinghboy,4140,3,136,Creators & Celebrities
tech,techsinghboy,4140,4,18,Creators & Celebrities
tech,techsinghboy,4140,5,6,Creators & Celebrities
tech,techsinghboy,4140,6,36,Creators & Celebrities
tech,techsinghboy,4140,7,43,Creators & Celebrities
tech,techsinghboy,4140,8,22,Creators & Celebrities
tech,techsinghboy,4140,9,39,Creators & Celebrities
tech,sharyapple,3098,0,81,NULL
tech,sharyapple,3098,1,36,NULL
tech,steveandelon,10909,0,286,Publishers
tech,steveandelon,10909,1,27,Publishers
tech,steveandelon,10909,2,44,Publishers
tech,steveandelon,10909,3,508,Publishers
tech,steveandelon,10909,4,7,Publishers
tech,steveandelon,10909,5,8,Publishers
tech,steveandelon,10909,6,6,Publishers
tech,steveandelon,10909,7,8,Publishers
tech,steveandelon,10909,8,46,Publishers
tech,steveandelon,10909,9,78,Publishers
