Hashtag,Username,Followers,Post Number (newer First),Likes,Business Category
tech,amantechnologia,15266,0,45,Publishers
tech,amantechnologia,15266,1,56,Publishers
tech,amantechnologia,15266,2,41,Publishers
tech,amantechnologia,15266,3,25,Publishers
tech,amantechnologia,15266,4,31,Publishers
tech,amantechnologia,15266,5,43,Publishers
tech,amantechnologia,15266,6,31,Publishers
tech,amantechnologia,15266,7,30,Publishers
tech,amantechnologia,15266,8,64,Publishers
tech,amantechnologia,15266,9,60,Publishers
tech,industrial.magazine,15854,0,1571,NULL
tech,industrial.magazine,15854,1,3199,NULL
tech,industrial.magazine,15854,2,224,NULL
tech,industrial.magazine,15854,3,1023,NULL
tech,industrial.magazine,15854,4,534,NULL
tech,industrial.magazine,15854,5,2691,NULL
tech,industrial.magazine,15854,6,3190,NULL
tech,industrial.magazine,15854,7,250,NULL
tech,industrial.magazine,15854,8,175,NULL
tech,industrial.magazine,15854,9,875,NULL
tech,expressteller,156,0,19,Personal Goods & General Merchandise Stores
tech,expressteller,156,1,15,Personal Goods & General Merchandise Stores
tech,expressteller,156,2,16,Personal Goods & General Merchandise Stores
tech,expressteller,156,3,19,Personal Goods & General Merchandise Stores
tech,expressteller,156,4,20,Personal Goods & General Merchandise Stores
tech,expressteller,156,5,23,Personal Goods & General Merchandise Stores
tech,expressteller,156,6,23,Personal Goods & General Merchandise Stores
tech,expressteller,156,7,18,Personal Goods & General Merchandise Stores
tech,expressteller,156,8,18,Personal Goods & General Merchandise Stores
tech,expressteller,156,9,21,Personal Goods & General Merchandise Stores
tech,techsightnow,56,0,13,NULL
tech,techsightnow,56,1,5,NULL
tech,techsightnow,56,2,10,NULL
tech,techsightnow,56,3,10,NULL
tech,techsightnow,56,4,4,NULL
tech,techsightnow,56,5,11,NULL
tech,techsightnow,56,6,10,NULL
tech,techsightnow,56,7,12,NULL
tech,techsightnow,56,8,7,NULL
tech,techsightnow,56,9,9,NULL
tech,xgameslinhares,788,0,13,Business & Utility Services
tech,xgameslinhares,788,1,10,Business & Utility Services
tech,xgameslinhares,788,2,9,Business & Utility Services
tech,the.carmen.studio,290,0,76,NULL
tech,the.carmen.studio,290,1,104,NULL
tech,gadget.brand1,49207,0,2026,NULL
tech,gadget.brand1,49207,1,5030,NULL
tech,gadget.brand1,49207,2,22863,NULL
tech,gadget.brand1,49207,3,17649,NULL
tech,gadget.brand1,49207,4,140,NULL
tech,gadget.brand1,49207,5,1062,NULL
tech,gadget.brand1,49207,6,16672,NULL
tech,gadget.brand1,49207,7,5034,NULL
tech,gadget.brand1,49207,8,11930,NULL
tech,gadget.brand1,49207,9,197,NULL
tech,tech_progame,70,0,4,Content & Apps
tech,tech_progame,70,1,3,Content & Apps
tech,tech_progame,70,2,4,Content & Apps
tech,wolotglobal,1985,0,4,General Interest
tech,wolotglobal,1985,1,0,General Interest
tech,wolotglobal,1985,2,5,General Interest
tech,wolotglobal,1985,3,0,General Interest
tech,wolotglobal,1985,4,3,General Interest
tech,wolotglobal,1985,5,2,General Interest
tech,wolotglobal,1985,6,1,General Interest
tech,wolotglobal,1985,7,1,General Interest
tech,wolotglobal,1985,8,2,General Interest
tech,wolotglobal,1985,9,3,General Interest
tech,deltacctv.co.uk,206,0,7,NULL
tech,deltacctv.co.uk,206,1,7,NULL
tech,deltacctv.co.uk,206,2,6,NULL
tech,deltacctv.co.uk,206,3,5,NULL
tech,deltacctv.co.uk,206,4,6,NULL
tech,deltacctv.co.uk,206,5,9,NULL
tech,deltacctv.co.uk,206,6,10,NULL
tech,deltacctv.co.uk,206,7,9,NULL
tech,deltacctv.co.uk,206,8,10,NULL
tech,deltacctv.co.uk,206,9,13,NULL
tech,btchain_sg,17,0,4,NULL
tech,btchain_sg,17,1,1,NULL
tech,btchain_sg,17,2,3,NULL
tech,btchain_sg,17,3,1,NULL
tech,btchain_sg,17,4,2,NULL
tech,btchain_sg,17,5,2,NULL
tech,btchain_sg,17,6,1,NULL
tech,btchain_sg,17,7,1,NULL
tech,btchain_sg,17,8,3,NULL
tech,btchain_sg,17,9,3,NULL
tech,fariapple,7539,0,669,Personal Goods & General Merchandise Stores
tech,fariapple,7539,1,8,Personal Goods & General Merchandise Stores
tech,fariapple,7539,2,8,Personal Goods & General Merchandise Stores
tech,fariapple,7539,3,11,Personal Goods & General Merchandise Stores
tech,fariapple,7539,4,9,Personal Goods & General Merchandise Stores
tech,fariapple,7539,5,14,Personal Goods & General Merchandise Stores
tech,fariapple,7539,6,11,Personal Goods & General Merchandise Stores
tech,fariapple,7539,7,16,Personal Goods & General Merchandise Stores
tech,fariapple,7539,8,9,Personal Goods & General Merchandise Stores
tech,fariapple,7539,9,18,Personal Goods & General Merchandise Stores
