Hashtag,Username,Followers,Post Number (newer First),Likes,Business Category
tech,microimagem,9168,0,29,Business & Utility Services
tech,microimagem,9168,1,21,Business & Utility Services
tech,microimagem,9168,2,42,Business & Utility Services
tech,microimagem,9168,3,61,Business & Utility Services
tech,microimagem,9168,4,70,Business & Utility Services
tech,gamaacademy,26144,0,47,Professional Services
tech,gamaacademy,26144,1,31,Professional Services
tech,gamaacademy,26144,2,58,Professional Services
tech,gamaacademy,26144,3,36,Professional Services
tech,gamaacademy,26144,4,16,Professional Services
tech,gamaacademy,26144,5,145,Professional Services
tech,gamaacademy,26144,6,54,Professional Services
tech,gamaacademy,26144,7,52,Professional Services
tech,gamaacademy,26144,8,284,Professional Services
tech,gamaacademy,26144,9,89,Professional Services
tech,_blaenk,5551,0,37,Personal Goods & General Merchandise Stores
tech,earthmood,989566,0,28035,NULL
tech,earthmood,989566,1,15393,NULL
tech,umbc.datascience,1059,0,97,NULL
tech,umbc.datascience,1059,1,131,NULL
tech,umbc.datascience,1059,2,88,NULL
tech,umbc.datascience,1059,3,143,NULL
tech,umbc.datascience,1059,4,67,NULL
tech,umbc.datascience,1059,5,101,NULL
tech,umbc.datascience,1059,6,145,NULL
tech,umbc.datascience,1059,7,56,NULL
tech,digital.comunicacao,5012,0,22,Business & Utility Services
tech,digital.comunicacao,5012,1,29,Business & Utility Services
tech,digital.comunicacao,5012,2,18,Business & Utility Services
tech,digital.comunicacao,5012,3,9,Business & Utility Services
tech,digital.comunicacao,5012,4,42,Business & Utility Services
tech,digital.comunicacao,5012,5,15,Business & Utility Services
tech,gk_course,107899,0,2640,Professional Services
tech,gk_course,107899,1,4268,Professional Services
tech,gk_course,107899,2,2548,Professional Services
tech,gk_course,107899,3,2708,Professional Services
tech,gk_course,107899,4,3480,Professional Services
tech,gk_course,107899,5,2772,Professional Services
tech,gk_course,107899,6,3099,Professional Services
tech,gk_course,107899,7,4425,Professional Services
tech,gk_course,107899,8,3849,Professional Services
tech,gk_course,107899,9,2532,Professional Services
tech,dannylyziser,11170,0,776,NULL
tech,dannylyziser,11170,1,859,NULL
tech,dannylyziser,11170,2,1856,NULL
tech,dannylyziser,11170,3,773,NULL
tech,dannylyziser,11170,4,890,NULL
tech,generationhustlepod,1108,0,61,NULL
tech,generationhustlepod,1108,1,40,NULL
tech,generationhustlepod,1108,2,47,NULL
tech,tech_syringe,1565,0,97,Creators & Celebrities
tech,tech_syringe,1565,1,87,Creators & Celebrities
tech,tech_syringe,1565,2,90,Creators & Celebrities
tech,tech_syringe,1565,3,377,Creators & Celebrities
tech,tech_syringe,1565,4,119,Creators & Celebrities
tech,tech_syringe,1565,5,91,Creators & Celebrities
tech,tech_syringe,1565,6,146,Creators & Celebrities
tech,tech_syringe,1565,7,135,Creators & Celebrities
tech,tech_syringe,1565,8,118,Creators & Celebrities
tech,tech_syringe,1565,9,116,Creators & Celebrities
