Hashtag,Username,Followers,Post Number (newer First),Likes,Business Category
tech,evevza,72,0,10,NULL
tech,evevza,72,1,67,NULL
tech,evevza,72,2,9,NULL
tech,the.neural.tree,227,0,9,NULL
tech,the.neural.tree,227,1,57,NULL
tech,the.neural.tree,227,2,8,NULL
tech,the.neural.tree,227,3,12,NULL
tech,the.neural.tree,227,4,8,NULL
tech,the.neural.tree,227,5,8,NULL
tech,the.neural.tree,227,6,60,NULL
tech,the.neural.tree,227,7,7,NULL
tech,the.neural.tree,227,8,5,NULL
tech,the.neural.tree,227,9,6,NULL
tech,tech__bits,1290,0,125,NULL
tech,tech__bits,1290,1,97,NULL
tech,tech__bits,1290,2,104,NULL
tech,tech__bits,1290,3,104,NULL
tech,tech__bits,1290,4,115,NULL
tech,tech__bits,1290,5,107,NULL
tech,tech__bits,1290,6,118,NULL
tech,tech__bits,1290,7,114,NULL
tech,tech__bits,1290,8,147,NULL
tech,tech__bits,1290,9,135,NULL
tech,elago.th,183,0,2,Personal Goods & General Merchandise Stores
tech,elago.th,183,1,0,Personal Goods & General Merchandise Stores
tech,no1.tech.news,31,0,1,NULL
tech,no1.tech.news,31,1,0,NULL
tech,wabsolucoes,412,0,11,NULL
tech,wabsolucoes,412,1,8,NULL
tech,wabsolucoes,412,2,12,NULL
tech,wabsolucoes,412,3,15,NULL
tech,wabsolucoes,412,4,10,NULL
tech,startupcare,150,0,5,NULL
tech,startupcare,150,1,3,NULL
tech,startupcare,150,2,4,NULL
tech,startupcare,150,3,5,NULL
tech,startupcare,150,4,6,NULL
tech,startupcare,150,5,6,NULL
tech,startupcare,150,6,10,NULL
tech,startupcare,150,7,8,NULL
tech,startupcare,150,8,5,NULL
tech,startupcare,150,9,6,NULL
tech,tech.mano,109,0,4,Publishers
tech,tech.mano,109,1,9,Publishers
tech,tech.mano,109,2,6,Publishers
tech,tech.mano,109,3,3,Publishers
tech,tech.mano,109,4,4,Publishers
tech,tech.mano,109,5,5,Publishers
tech,tech.mano,109,6,3,Publishers
tech,tech.mano,109,7,5,Publishers
tech,tech.mano,109,8,1,Publishers
tech,tech.mano,109,9,3,Publishers
tech,paper2app,17,0,4,Business & Utility Services
tech,paper2app,17,1,13,Business & Utility Services
tech,paper2app,17,2,11,Business & Utility Services
tech,paper2app,17,3,12,Business & Utility Services
tech,paper2app,17,4,11,Business & Utility Services
tech,paper2app,17,5,9,Business & Utility Services
tech,paper2app,17,6,9,Business & Utility Services
tech,paper2app,17,7,8,Business & Utility Services
tech,paper2app,17,8,10,Business & Utility Services
tech,techcomms_,212,0,5,Professional Services
tech,qibit_italia,304,0,9,Home Services
tech,qibit_italia,304,1,7,Home Services
tech,qibit_italia,304,2,9,Home Services
tech,qibit_italia,304,3,5,Home Services
tech,qibit_italia,304,4,4,Home Services
tech,qibit_italia,304,5,8,Home Services
tech,qibit_italia,304,6,5,Home Services
tech,qibit_italia,304,7,5,Home Services
tech,qibit_italia,304,8,1,Home Services
tech,qibit_italia,304,9,10,Home Services
tech,torettopescaykayak,3264,0,69,Personal Goods & General Merchandise Stores
tech,torettopescaykayak,3264,1,56,Personal Goods & General Merchandise Stores
tech,torettopescaykayak,3264,2,87,Personal Goods & General Merchandise Stores
tech,torettopescaykayak,3264,3,63,Personal Goods & General Merchandise Stores
tech,torettopescaykayak,3264,4,44,Personal Goods & General Merchandise Stores
tech,torettopescaykayak,3264,5,52,Personal Goods & General Merchandise Stores
tech,torettopescaykayak,3264,6,64,Personal Goods & General Merchandise Stores
tech,torettopescaykayak,3264,7,37,Personal Goods & General Merchandise Stores
tech,torettopescaykayak,3264,8,36,Personal Goods & General Merchandise Stores
tech,torettopescaykayak,3264,9,45,Personal Goods & General Merchandise Stores
